,age,live_province,live_city,sex,marital,bank,salary,amount,Label
0,28,DKI Jakarta,Jakarta Selatan,0,3,MANDIRI,5555555,507350.0,1
1,19,Jawa Tengah,Semarang,0,4,MANDIRI,644552585855,514700.0,1
2,38,DKI Jakarta,Jakarta Utara,0,3,MANDIRI,585858,507350.0,1
3,18,DKI Jakarta,Jakarta Timur,0,3,MANDIRI,979764,514700.0,1
4,37,DKI Jakarta,Jakarta Utara,1,4,MANDIRI,865656,1029400.0,0
5,37,DKI Jakarta,Jakarta Utara,1,4,MANDIRI,865656,507350.0,0
6,26,Jawa Barat,Bandung,1,1,CIMB,4894984,507350.0,1
7,48,DKI Jakarta,Jakarta Pusat,0,2,MANDIRI,5000000,507350.0,1
8,24,DKI Jakarta,Jakarta Pusat,0,1,MANDIRI,1000000,507350.0,1
9,31,Jawa Tengah,Semarang,0,1,CIMB,89989994,1029400.0,1
10,30,Jawa Tengah,Semarang,0,1,MANDIRI,86668669998,558085.0,0
11,21,DKI Jakarta,Jakarta Barat,1,1,BCA,4000000,514700.0,0
12,27,Jawa Barat,Bandung,0,2,OCBC,5000000,514700.0,0
13,27,DKI Jakarta,Jakarta Utara,1,2,BCA,3200000,514700.0,0
14,32,DKI Jakarta,Jakarta Barat,0,2,DANAMON,5000000,514700.0,1
15,30,DKI Jakarta,Jakarta Barat,1,1,MANDIRI,5000000,514700.0,1
16,25,Jawa Tengah,Semarang,1,3,BRI,545546554,5073.0,1
17,30,Jawa Tengah,Semarang,0,1,MANDIRI,194966,528000.0,0
18,32,DKI Jakarta,Jakarta Barat,1,1,BCA,2300000,556000.0,0
19,41,Jawa Tengah,Semarang,0,1,BRI,858588,528000.0,0
20,27,Jawa Barat,Bandung,0,2,OCBC,5000000,556000.0,0
21,27,DKI Jakarta,Jakarta Utara,1,2,BCA,3200000,556000.0,0
22,24,DKI Jakarta,Jakarta Pusat,0,1,BCA,3650000,556000.0,1
23,38,Jawa Barat,Bandung,1,2,BRI,7000000,556000.0,0
24,37,Sumatera Utara,Medan,1,2,BRI,15000000,556000.0,1
25,20,Jawa Barat,Bandung,1,2,CIMB,2700000,556000.0,0
26,27,Jawa Barat,Bandung,0,2,MANDIRI,444444444,556000.0,0
27,19,Jawa Timur,Surabaya,0,3,MANDIRI,5764644,556000.0,0
28,37,Jawa Timur,Surabaya,1,3,MANDIRI,8586,528000.0,0
29,32,Sumatera Utara,Medan,0,2,BCA,8500000,1112000.0,1
30,49,DKI Jakarta,Jakarta Utara,1,1,BCA,5250000,556000.0,0
31,45,Jawa Barat,Bandung,0,2,BCA,6000000,1112000.0,0
32,38,DKI Jakarta,Jakarta Barat,0,2,BRI,3648350,556000.0,0
33,48,DKI Jakarta,Jakarta Pusat,0,2,BCA,6296000,556000.0,0
34,38,DKI Jakarta,Jakarta Timur,0,2,BCA,4100000,556000.0,0
35,27,DKI Jakarta,Jakarta Utara,1,2,BCA,3200000,556000.0,0
36,25,DKI Jakarta,Jakarta Barat,0,1,BCA,3000000,556000.0,1
37,26,DKI Jakarta,Jakarta Pusat,0,2,BCA,4500000,556000.0,0
38,26,Jawa Barat,Bandung,1,2,BCA,4900000,556000.0,0
39,34,DKI Jakarta,Jakarta Timur,0,1,BRI,5000000,556000.0,1
40,32,Sumatera Utara,Medan,1,2,SUMUT,4000000,556000.0,1
41,29,Jawa Barat,Bandung,1,1,BCA,4000000,556000.0,0
42,29,DKI Jakarta,Jakarta Barat,0,2,BCA,6000000,556000.0,0
43,23,DKI Jakarta,Jakarta Timur,0,1,BCA,6750000,556000.0,0
44,38,Jawa Barat,Bandung,1,2,BRI,7000000,556000.0,0
45,32,DKI Jakarta,Jakarta Barat,1,1,BCA,2300000,556000.0,0
46,36,Jawa Barat,Bandung,0,2,MANDIRI,3150000,556000.0,0
47,24,DKI Jakarta,Jakarta Barat,1,1,BCA,3750000,556000.0,0
48,25,DKI Jakarta,Jakarta Barat,0,1,BCA,3800000,556000.0,1
49,20,Jawa Barat,Bandung,1,2,CIMB,2700000,556000.0,1
50,37,Jawa Timur,Surabaya,0,1,BCA,4225000,556000.0,0
51,33,DKI Jakarta,Jakarta Selatan,0,1,MANDIRI,4500000,556000.0,0
52,33,DKI Jakarta,Jakarta Pusat,0,2,BCA,6500000,556000.0,1
53,30,DKI Jakarta,Jakarta Selatan,0,2,BCA,5300000,556000.0,0
54,49,DKI Jakarta,Jakarta Utara,1,1,BCA,5250000,556000.0,0
55,41,Jawa Barat,Bandung,0,1,BCA,5500000,556000.0,0
56,24,DKI Jakarta,Jakarta Barat,0,1,BCA,4100000,556000.0,1
57,22,DKI Jakarta,Jakarta Selatan,0,1,BCA,4200000,556000.0,0
58,38,DKI Jakarta,Jakarta Timur,1,2,PERMATA,4000000,556000.0,0
59,27,DKI Jakarta,Jakarta Barat,1,1,BCA,3300000,556000.0,0
60,33,DKI Jakarta,Jakarta Barat,0,2,BCA,5000000,556000.0,1
61,33,DKI Jakarta,Jakarta Timur,0,1,BTN,3648000,556000.0,0
62,45,Jawa Barat,Bandung,0,2,BCA,6000000,1112000.0,0
63,40,DKI Jakarta,Jakarta Timur,0,1,BRI,5000000,556000.0,0
64,28,DKI Jakarta,Jakarta Utara,1,2,BCA,9250000,556000.0,0
65,44,DKI Jakarta,Jakarta Barat,0,3,CIMB,8000000,556000.0,0
66,30,DKI Jakarta,Jakarta Timur,0,2,BCA,7500000,556000.0,0
67,39,Sumatera Utara,Medan,0,1,BCA,10000000,556000.0,0
